mass_A
t	x
9.476846667E1	-2.111122004E1
9.494390000E1	-3.022478316E1
9.510396667E1	-3.991025304E1
9.527993333E1	-4.974240057E1
9.544010000E1	-5.816148742E1
9.560036667E1	-8.438599124E1
9.577586667E1	-9.275568961E1
9.593586667E1	-9.666672777E1
9.611183333E1	-9.886549278E1
9.627190000E1	-9.820177575E1
9.644790000E1	-9.755668223E1
9.660796667E1	-9.616863184E1
9.676836667E1	-9.389591769E1
9.694390000E1	-9.055487487E1
9.710386667E1	-8.516542032E1
9.727980000E1	-7.594917970E1
9.743983333E1	-5.321184138E1
9.760050000E1	-4.685334184E1
9.777593333E1	-4.228300139E1
9.793593333E1	-3.677231942E1
9.811186667E1	-3.108455269E1
9.827206667E1	-1.968394720E1
9.843216667E1	-9.096096497E0
9.860806667E1	-2.087176302E0
9.876836667E1	3.338081830E0
9.894390000E1	9.451989878E0
9.910396667E1	1.377693123E1
9.928016667E1	1.644886993E1
9.943993333E1	1.641698922E1
9.960016667E1	1.367201656E1
9.977590000E1	1.170545288E1
9.993653333E1	5.745491612E0
1.001119667E2	-1.512101185E-1
1.002720333E2	-8.138189538E0
1.004322333E2	-1.722600142E1
1.006079333E2	-2.681287933E1
1.007688667E2	-3.698404742E1
1.009438333E2	-4.820623941E1
1.011044000E2	-5.768511398E1
1.012639333E2	-8.462546151E1
1.014399333E2	-9.395065243E1
1.016001333E2	-9.729777217E1
1.017759333E2	-9.984938782E1
1.019360000E2	-9.901923534E1
1.020960000E2	-9.824993745E1
1.022719667E2	-9.655400741E1
1.024321333E2	-9.288722043E1
1.026079667E2	-8.822083901E1
1.027683333E2	-7.978933897E1
1.029440000E2	-7.211176785E1
1.031039333E2	-4.932621199E1
1.032639333E2	-4.332201598E1
1.034399333E2	-3.778011400E1
1.036001667E2	-3.189611102E1
1.037759667E2	-2.090797033E1
1.039366000E2	-9.193000305E0
1.040959667E2	-2.212095584E0
1.042719667E2	3.808146786E0
1.044322000E2	9.981728879E0
1.046079333E2	1.425825350E1
1.047678333E2	1.708236243E1
1.049279667E2	1.546053723E1
1.051039000E2	1.248861456E1
1.052639000E2	9.163343020E0
1.054399333E2	2.744111633E0
1.056003667E2	-3.127061565E0
1.057757667E2	-1.139725658E1
1.059358000E2	-2.001844981E1
1.060958333E2	-2.973181281E1
1.062718333E2	-4.033349162E1
1.064325000E2	-5.083154865E1
1.066078000E2	-6.037391503E1
1.067679667E2	-8.846402046E1
1.069279667E2	-9.581592172E1
1.071041000E2	-9.819806589E1
1.072638667E2	-9.932634886E1
1.074398667E2	-9.792337542E1
1.076000000E2	-9.615857953E1
1.077599000E2	-9.333537920E1
1.079362000E2	-8.817135698E1
1.080959000E2	-7.918207339E1
1.082719667E2	-7.212876684E1
1.084320333E2	-4.833781029E1
1.085919333E2	-4.286094992E1
1.087683000E2	-3.746259102E1
1.089280667E2	-3.138825677E1
1.091043000E2	-2.214827351E1
1.092643333E2	-9.268568171E0
1.094400000E2	-9.420374238E-1
1.096001667E2	5.170867817E0
1.097598667E2	1.114890905E1
1.099363000E2	1.519934023E1
1.100959667E2	1.699107801E1
1.102720000E2	1.340100256E1
1.104324000E2	1.106649676E1
1.105920000E2	5.289850795E0
1.107684333E2	-2.207055617E0
1.109279667E2	-1.010364596E1
1.111038667E2	-1.929738495E1
1.112639333E2	-2.989729508E1
1.114239667E2	-4.054696106E1
1.116004000E2	-5.128895570E1
1.117600000E2	-7.923005143E1
1.119364000E2	-8.919465450E1
1.120960000E2	-9.672407219E1
1.122719000E2	-9.873649654E1
1.124319000E2	-9.890205146E1
1.125919667E2	-9.758083957E1
1.127684333E2	-9.611246796E1
1.129280000E2	-9.258305052E1
1.131038667E2	-8.606694031E1
1.132641333E2	-7.531748517E1
1.134239333E2	-5.182732859E1
1.136003333E2	-4.496931073E1
1.137600000E2	-3.957808854E1
1.139359000E2	-3.400383242E1
1.140959667E2	-2.477773500E1
1.142560333E2	-1.110710788E1
1.144319333E2	-2.151593713E0
1.145919333E2	4.996307697E0
1.147685333E2	1.082822808E1
1.149279000E2	1.523012126E1
1.150882667E2	1.724567285E1
1.152639333E2	1.421980339E1
1.154240333E2	1.118653219E1
1.156002000E2	5.959619913E0
1.157599333E2	-2.062838516E0
1.159359000E2	-1.152559429E1
1.160959000E2	-2.200547189E1
1.162561000E2	-3.300315894E1
1.164319333E2	-4.463833877E1
1.165919667E2	-5.491948178E1
1.167680667E2	-8.278371716E1
1.169279667E2	-9.253595006E1
1.170881000E2	-9.679862276E1
1.172639000E2	-9.955326191E1
1.174239333E2	-9.753981110E1
1.175998000E2	-9.696634893E1
1.177598667E2	-9.498861618E1
1.179199000E2	-8.932574683E1
1.180959000E2	-8.109454683E1
1.182565333E2	-5.411227812E1
1.184318667E2	-4.864747118E1
1.185918667E2	-4.169783374E1
1.187520667E2	-3.572727406E1
1.189279000E2	-2.881261715E1
1.190879333E2	-1.702593807E1
1.192641000E2	-5.147897569E0
1.194242333E2	2.289853083E0
1.196000667E2	8.771335814E0
1.197599333E2	1.406142334E1
1.199199667E2	1.631404091E1
1.200959000E2	1.335498864E1
1.202560333E2	1.058915061E1
1.204318000E2	5.896204594E0
1.205918667E2	-2.802590101E0
1.207519000E2	-1.083903498E1
1.209278667E2	-2.059630079E1
1.210881000E2	-3.213891484E1
1.212640000E2	-4.416104038E1
1.214240333E2	-5.545341816E1
1.215852000E2	-8.407843202E1
1.217599667E2	-9.428665492E1
1.219200333E2	-9.782568543E1
1.220960333E2	-9.995791435E1
1.222559000E2	-9.757302615E1
1.224322333E2	-9.528969001E1
1.225919000E2	-9.184824362E1
1.227521667E2	-8.520020747E1
1.229279333E2	-7.405650379E1
1.230879667E2	-5.091704315E1
1.232638333E2	-4.387962145E1
1.234239667E2	-3.807515049E1
1.235843000E2	-3.085302042E1
1.237599667E2	-3.780264459E1
1.239199333E2	-6.456920204E0
1.240959667E2	2.060862311E0
1.242560333E2	9.104984968E0
1.244163333E2	1.423879272E1
1.245920667E2	1.703081077E1
1.247521000E2	1.277182340E1
1.249280000E2	1.011979474E1
1.250879667E2	3.894405931E0
1.252482667E2	-4.869489763E0
1.254239333E2	-1.412126179E1
1.255844000E2	-2.694335593E1
1.257599667E2	-3.875249709E1
1.259200667E2	-5.021412556E1
1.260958333E2	-7.989432087E1
1.262559667E2	-9.108764252E1
1.264162667E2	-9.754782200E1
1.265919667E2	-9.929858018E1
1.267519333E2	-9.842566110E1
1.269278667E2	-9.626102550E1
1.270879000E2	-9.358521938E1
1.272480667E2	-8.719472548E1
1.274239667E2	-7.804611165E1
1.275839667E2	-5.125577385E1
1.277599333E2	-4.517428834E1
1.279199333E2	-3.854596206E1
1.280799000E2	-3.152140559E1
1.282559000E2	-2.090741056E1
1.284162667E2	-6.146080067E0
1.285918333E2	1.998711267E0
1.287519000E2	9.243353962E0
1.289278333E2	1.432037315E1
1.290882000E2	1.694132904E1
1.292480000E2	1.247426292E1
1.294238333E2	9.140189584E0
1.295845333E2	9.221083034E-1
1.297598667E2	-6.976381860E0
1.299201667E2	-1.700057503E1
1.300799333E2	-2.989207397E1
1.302560333E2	-4.206863899E1
1.304165667E2	-5.390716717E1
1.305919667E2	-8.276499708E1
1.307519667E2	-9.364864233E1
1.309120667E2	-9.866461899E1
1.310879333E2	-9.967182108E1
1.312481333E2	-9.711285512E1
1.314243000E2	-9.516012471E1
1.315841333E2	-9.081554499E1
1.317439333E2	-8.327923279E1
1.319200000E2	-5.351005576E1
1.320800667E2	-4.834111216E1
1.322561000E2	-4.051314848E1
1.324162000E2	-3.401601241E1
1.325919333E2	-2.417583696E1
1.327521667E2	-1.098754725E1
1.329120000E2	-1.087013827E-1
1.330879667E2	7.530342629E0
1.332482333E2	1.304943120E1
1.334239000E2	1.627973757E1
1.335846667E2	1.153672458E1
1.337440667E2	8.795670394E0
1.339199667E2	9.227442628E-1
1.340800667E2	-8.896190589E0
1.342560333E2	-1.983222214E1
1.344161000E2	-3.221188321E1
1.345761667E2	-4.582688350E1
1.347519333E2	-5.787605031E1
1.349118667E2	-8.771640667E1
1.350880000E2	-9.683103745E1
1.352484667E2	-9.893081834E1
1.354238333E2	-9.910070976E1
1.355838667E2	-9.694077088E1
1.357440333E2	-9.374853886E1
1.359200000E2	-8.632927603E1
1.360801333E2	-7.500913483E1
1.362560000E2	-5.160036210E1
1.364164333E2	-4.345941696E1
1.365760333E2	-3.731367557E1
1.367519667E2	-2.995646813E1
1.369120667E2	-3.526517218E1
1.370878333E2	-4.471346847E0
1.372481000E2	4.802089689E0
1.374081333E2	1.143363814E1
1.375846333E2	1.589102307E1
1.377439667E2	1.224269310E1
1.379199000E2	8.217139684E0
